Student,LPIPS,SSIM
109590057.png,0.0,1.0
112598083.png,0.41757431626319885,0.6159927627900488
112598048.png,0.4205828309059143,0.6557302849522836
109590052.png,0.422730028629303,0.6998093261692303
110590029.png,0.4329786002635956,0.721999341936168
109590015.png,0.4556869864463806,0.6509983160092675
112598071.png,0.4723189175128937,0.6291561465797006
112598075.png,0.5107412338256836,0.5985866612354649
